BioProject,Run,AvgSpotLen,Bases,BioSample,Bytes,Center.Name,Experiment,Library.Name,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study,Isolate,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,sex,Age,Biomaterial_provider,Strain,breeding_system,MiSeq_run_library,dev_stage,PHENOTYPE,collected_by,Breed,Host,Specimen_voucher,accession..run.,object_status..run.,study..run.,OLD_geo_loc_name,Cultivar,Ecotype,Investigation_type,BIOME,Depth,elev,env_package,feature,Label,lat_lon,material,project_name,lat,lon,counts
PRJNA212133,SRR7516538,199,6879643345,SAMN02252736,3940986823,INDIANA UNIVERSITY,SRX4386578,MORG-5,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,JOL-2,SRP153221,JOL-2,2001,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212134,SRR7516547,199,6915046140,SAMN02252737,3935843448,INDIANA UNIVERSITY,SRX4386587,SED-2,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,MORG-5,SRP153219,MORG-5,2003,USA,North America,USA: Michigan,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212135,SRR7516535,81,7576330714,SAMN02252738,3560881491,INDIANA UNIVERSITY,SRX4386575,STM-2,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,SED-2,SRP153222,SED-2,2004,USA,North America,USA: Minnesota,temporary pond,,,,,,,,asexual,,,,,,,,,,,eukaryote,,,,,,,character0,,,NA,NA,1
PRJNA212282,SRR7516539,75,3166642500,SAMN02252739,2173376917,INDIANA UNIVERSITY,SRX4386579,Hughes-2,Daphnia pulex,ILLUMINA,2018-07-14T00:00:00Z,STM-2,SRP153220,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212282,SRR7521588,44,1797568872,SAMN02252739,1193893029,INDIANA UNIVERSITY,SRX4386579,Hughes-2,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,STM-2,SRP153220,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212282,SRR7521589,150,4623105450,SAMN02252739,2219687185,INDIANA UNIVERSITY,SRX4386579,Hughes-2,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,STM-2,SRP153220,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212282,SRR7521590,44,2779277600,SAMN02252739,1169302891,INDIANA UNIVERSITY,SRX4386579,Hughes-2,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,STM-2,SRP153220,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212285,SRR7516563,199,6851139977,SAMN02252740,3992258436,INDIANA UNIVERSITY,SRX4386603,PA-32,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,HUGHES-2,SRP153227,HUGHES-2,2005,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212286,SRR7516572,199,6822906399,SAMN02252741,3989408424,INDIANA UNIVERSITY,SRX4386612,EB-1,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,PA-32,SRP153230,PA-32,2003,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212288,SRR7516561,199,6853461463,SAMN02252742,4107167618,INDIANA UNIVERSITY,SRX4386601,BW-101,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,EB-1,SRP153223,EB-1,2003,USA,North America,USA: Minnesota,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212290,SRR7516566,199,6944727409,SAMN02252743,4167640946,INDIANA UNIVERSITY,SRX4386606,KSP-10,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,OP-11,SRP153226,OP-11,2004,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212291,SRR7516825,199,6955922127,SAMN02252744,4143213173,INDIANA UNIVERSITY,SRX4386831,POVI-4,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,BW-101,SRP153243,BW-101,2004,USA,North America,USA: Illinois,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212292,SRR7516562,199,6955459902,SAMN02252745,4017027893,INDIANA UNIVERSITY,SRX4386602,TEX-9,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,KSP-10,SRP153224,KSP-10,2004,USA,North America,USA: Illinois,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212293,SRR7516565,199,6872595719,SAMN02252746,4021106407,INDIANA UNIVERSITY,SRX4386605,LPB8-6,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,POVI-1,SRP153229,POVI-1,2004,USA,North America,USA: Michigan,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212294,SRR7516523,199,6923828339,SAMN02252747,4092927628,INDIANA UNIVERSITY,SRX4386563,NFL-3,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,TEX-9,SRP153216,TEX-9,2003,USA,North America,USA: Michigan,temporary pond,,,,,,,,sexual,,,,,,,,Michigan,,,,,,,,,,character0,,,NA,NA,1
PRJNA212295,SRR7516536,150,4517495550,SAMN02252748,2117591777,INDIANA UNIVERSITY,SRX4386576,LPB8-5,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212295,SRR7519701,44,2805381568,SAMN02252748,1184791012,INDIANA UNIVERSITY,SRX4386576,LPB8-5,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212295,SRR7519702,44,1654467760,SAMN02252748,1087784547,INDIANA UNIVERSITY,SRX4386576,LPB8-5,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212295,SRR7519703,75,3129510300,SAMN02252748,2149556674,INDIANA UNIVERSITY,SRX4386576,LPB8-5,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212296,SRR7516534,75,4639347750,SAMN02252749,2281501938,INDIANA UNIVERSITY,SRX4386574,TEX-21,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,NFL-3,SRP153217,NFL-3,2004,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,Indiana,,,,,,,,,,character0,,,NA,NA,3
PRJNA212296,SRR7519631,44,2174149912,SAMN02252749,892497175,INDIANA UNIVERSITY,SRX4386574,TEX-21,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,NFL-3,SRP153217,NFL-3,2004,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,Indiana,,,,,,,,,,character0,,,NA,NA,3
PRJNA212296,SRR7519632,150,4223139750,SAMN02252749,1968799442,INDIANA UNIVERSITY,SRX4386574,TEX-21,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,NFL-3,SRP153217,NFL-3,2004,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,Indiana,,,,,,,,,,character0,,,NA,NA,3
PRJNA212297,SRR7516524,118,2006672954,SAMN02252750,1399468776,INDIANA UNIVERSITY,SRX4386564,SW-4,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-5,SRP153225,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212297,SRR7519638,122,2583420760,SAMN02252750,2658296058,INDIANA UNIVERSITY,SRX4386564,SW-4,Daphnia pulex,ILLUMINA,2018-07-21T00:00:00Z,LP8B-5,SRP153225,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212297,SRR7519639,122,2394895990,SAMN02252750,2431536932,INDIANA UNIVERSITY,SRX4386564,SW-4,Daphnia pulex,ILLUMINA,2018-07-21T00:00:00Z,LP8B-5,SRP153225,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212297,SRR7519640,118,2022501474,SAMN02252750,1412681682,INDIANA UNIVERSITY,SRX4386564,SW-4,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-5,SRP153225,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA247438,SRR1369718,296,2090996984,SAMN02839616,1381355239,ERDC-USACE,SRX584620,Run20120706_A28,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_28_EL787,SRP041981,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20120706_A28,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369719,302,1419026728,SAMN02839615,864173966,ERDC-USACE,SRX584621,Run20120716_A13,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_13_EL790,SRP041981,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20120716_A13,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369720,302,1410910478,SAMN02839621,887274333,ERDC-USACE,SRX584622,Run20120719_E12,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_12_EL786,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20120719_E12,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369721,302,1429651692,SAMN02839618,887168642,ERDC-USACE,SRX584623,Run20120723_B16,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_16_EL788,SRP041981,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20120723_B16,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369722,302,1527618378,SAMN02839617,1034652225,ERDC-USACE,SRX584624,Run20120805_B2,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_2_EL791,SRP041981,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20120805_B2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369723,302,2287898244,SAMN02839619,1605960861,ERDC-USACE,SRX584625,Run20120824_E7,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_7_EL789,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20120824_E7,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369724,302,2133338570,SAMN02839620,1464310084,ERDC-USACE,SRX584626,Run20130206_E7_rerun,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_7_EL789_rerun,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130206_E7_rerun,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369725,302,42458482,SAMN02839664,27842766,ERDC-USACE,SRX584627,Run20130521_G3-LF-r1_EL2104_S1,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_1_EL2104,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2104_S1;Run20130528_G3-LF-r2_EL2104_S1;Run20130530_G3-LF-r3_EL2104_S1;Run20130617_G3-LF-r4_EL2104_S1;Run20130730_G3-6LF-r1_EL2104_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369726,302,83371328,SAMN02839666,54916461,ERDC-USACE,SRX584628,Run20130521_G3-LF-r1_EL2105_S2,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_2_EL2105,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2105_S2;Run20130528_G3-LF-r2_EL2105_S2;Run20130530_G3-LF-r3_EL2105_S2;Run20130617_G3-LF-r4_EL2105_S2;Run20130806_G3-6LF-r2_EL2105_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369727,302,51277486,SAMN02839668,34065193,ERDC-USACE,SRX584629,Run20130521_G3-LF-r1_EL2106_S3,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_3_EL2106,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2106_S3;Run20130528_G3-LF-r2_EL2106_S3;Run20130530_G3-LF-r3_EL2106_S3;Run20130617_G3-LF-r4_EL2106_S3;Run20130808_G3-6LF-r3_EL2106_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369728,302,45192186,SAMN02839670,30697745,ERDC-USACE,SRX584630,Run20130521_G3-LF-r1_EL2107_S4,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_4_EL2107,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2107_S4;Run20130528_G3-LF-r2_EL2107_S4;Run20130530_G3-LF-r3_EL2107_S4;Run20130617_G3-LF-r4_EL2107_S4;Run20130812_G3-6LF-r4_EL2107_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369729,302,76418080,SAMN02839672,51266915,ERDC-USACE,SRX584631,Run20130521_G3-LF-r1_EL2108_S5,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_5_EL2108,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2108_S5;Run20130528_G3-LF-r2_EL2108_S5;Run20130530_G3-LF-r3_EL2108_S5;Run20130617_G3-LF-r4_EL2108_S5;Run20130816_G3-6LF-r5_EL2108_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369730,302,63234270,SAMN02839644,42262846,ERDC-USACE,SRX584632,Run20130521_G3-LF-r1_EL2109_S6,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_1_EL2109,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2109_S6;Run20130528_G3-LF-r2_EL2109_S6;Run20130530_G3-LF-r3_EL2109_S6;Run20130617_G3-LF-r4_EL2109_S6;Run20130822_G3-6LF-r6_EL2109_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369731,302,60260778,SAMN02839646,40480796,ERDC-USACE,SRX584633,Run20130521_G3-LF-r1_EL2110_S7,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_2_EL2110,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2110_S7;Run20130528_G3-LF-r2_EL2110_S7;Run20130530_G3-LF-r3_EL2110_S7;Run20130617_G3-LF-r4_EL2110_S7;Run20130730_G3-6LF-r1_EL2110_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369732,302,51969066,SAMN02839648,34444676,ERDC-USACE,SRX584634,Run20130521_G3-LF-r1_EL2111_S8,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_3_EL2111,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2111_S8;Run20130528_G3-LF-r2_EL2111_S8;Run20130530_G3-LF-r3_EL2111_S8;Run20130617_G3-LF-r4_EL2111_S8;Run20130806_G3-6LF-r2_EL2111_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369733,302,128958228,SAMN02839650,86706409,ERDC-USACE,SRX584635,Run20130521_G3-LF-r1_EL2112_S9,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_4_EL2112,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2112_S9;Run20130528_G3-LF-r2_EL2112_S9;Run20130530_G3-LF-r3_EL2112_S9;Run20130617_G3-LF-r4_EL2112_S9;Run20130808_G3-6LF-r3_EL2112_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369734,302,127895490,SAMN02839652,84983579,ERDC-USACE,SRX584636,Run20130521_G3-LF-r1_EL2113_S10,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_5_EL2113,SRP041981,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130521_G3-LF-r1_EL2113_S10;Run20130528_G3-LF-r2_EL2113_S10;Run20130530_G3-LF-r3_EL2113_S10;Run20130617_G3-LF-r4_EL2113_S10;Run20130812_G3-6LF-r4_EL2113_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369735,302,115839650,SAMN02839674,76449468,ERDC-USACE,SRX584637,Run20130521_G3-LF-r1_EL2114_S11,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_1_EL2114,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2114_S11;Run20130528_G3-LF-r2_EL2114_S11;Run20130530_G3-LF-r3_EL2114_S11;Run20130617_G3-LF-r4_EL2114_S11;Run20130822_G3-6LF-r6_EL2114_S2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369736,302,82089942,SAMN02839676,55585611,ERDC-USACE,SRX584638,Run20130521_G3-LF-r1_EL2115_S12,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_2_EL2115,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2115_S12;Run20130528_G3-LF-r2_EL2115_S12;Run20130530_G3-LF-r3_EL2115_S12;Run20130617_G3-LF-r4_EL2115_S12;Run20130730_G3-6LF-r1_EL2115_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369737,302,120866742,SAMN02839678,81418765,ERDC-USACE,SRX584639,Run20130521_G3-LF-r1_EL2116_S13,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_3_EL2116,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2116_S13;Run20130528_G3-LF-r2_EL2116_S13;Run20130530_G3-LF-r3_EL2116_S13;Run20130617_G3-LF-r4_EL2116_S13;Run20130806_G3-6LF-r2_EL2116_S3,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369738,302,125702366,SAMN02839680,85705733,ERDC-USACE,SRX584640,Run20130521_G3-LF-r1_EL2117_S14,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_4_EL2117,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2117_S14;Run20130528_G3-LF-r2_EL2117_S14;Run20130530_G3-LF-r3_EL2117_S14;Run20130617_G3-LF-r4_EL2117_S14;Run20130806_G3-6LF-r2_EL2117_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369739,302,80540682,SAMN02839682,54007616,ERDC-USACE,SRX584641,Run20130521_G3-LF-r1_EL2118_S15,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,TCO_5_EL2118,SRP041981,,,,,,,female,adult,"Dr. Norman Yan\, York University\, Toronto\, ON",TCO,parthenogenetic female,Run20130521_G3-LF-r1_EL2118_S15;Run20130528_G3-LF-r2_EL2118_S15;Run20130530_G3-LF-r3_EL2118_S15;Run20130617_G3-LF-r4_EL2118_S15;Run20130730_G3-6LF-r1_EL2118_S4,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369740,302,95756650,SAMN02839654,62486853,ERDC-USACE,SRX584642,Run20130521_G3-LF-r1_EL2119_S16,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,HSL_1_EL2119,SRP041981,,,,,,,female,adult,"Dr. Howard Webb\, Horseshoe Lake\, MO",HSL,parthenogenetic female,Run20130521_G3-LF-r1_EL2119_S16;Run20130528_G3-LF-r2_EL2119_S16;Run20130530_G3-LF-r3_EL2119_S16;Run20130617_G3-LF-r4_EL2119_S16;Run20130806_G3-6LF-r2_EL2119_S5,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
