BioProject,Run,Assay.Type,AvgSpotLen,Bases,BioSample,Bytes,Center.Name,Consent,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,Experiment,Instrument,Library.Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study,BioSampleModel,Tissue,Isolate,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,sex,Age,Biomaterial_provider,Strain,breeding_system,MiSeq_run_library,dev_stage,PHENOTYPE,collected_by,Breed,Host,Specimen_voucher,accession..run.,object_status..run.,study..run.,OLD_geo_loc_name,Cultivar,Ecotype,Investigation_type,BIOME,Depth,elev,env_package,feature,Label,lat_lon,material,project_name,lat,lon,counts
PRJNA212133,SRR7516538,WGS,199,6879643345,SAMN02252736,3940986823,INDIANA UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4386578,Illumina Genome Analyzer II,MORG-5,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,JOL-2,SRP153221,,,JOL-2,2001,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212134,SRR7516547,WGS,199,6915046140,SAMN02252737,3935843448,INDIANA UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4386587,Illumina Genome Analyzer II,SED-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,MORG-5,SRP153219,,,MORG-5,2003,USA,North America,USA: Michigan,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212135,SRR7516535,WGS,81,7576330714,SAMN02252738,3560881491,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4386575,Illumina Genome Analyzer II,STM-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,SED-2,SRP153222,,,SED-2,2004,USA,North America,USA: Minnesota,temporary pond,,,,,,,,asexual,,,,,,,,,,,eukaryote,,,,,,,character0,,,NA,NA,1
PRJNA212282,SRR7516539,WGS,75,3166642500,SAMN02252739,2173376917,INDIANA UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4386579,Illumina Genome Analyzer II,Hughes-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-14T00:00:00Z,STM-2,SRP153220,,,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212282,SRR7521588,WGS,44,1797568872,SAMN02252739,1193893029,INDIANA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4386579,Illumina Genome Analyzer II,Hughes-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,STM-2,SRP153220,,,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212282,SRR7521589,WGS,150,4623105450,SAMN02252739,2219687185,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4386579,Illumina Genome Analyzer II,Hughes-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,STM-2,SRP153220,,,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212282,SRR7521590,WGS,44,2779277600,SAMN02252739,1169302891,INDIANA UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4386579,Illumina Genome Analyzer II,Hughes-2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,STM-2,SRP153220,,,STM-2,2004,Canada,North America,Canada: Quebec,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,4
PRJNA212285,SRR7516563,WGS,199,6851139977,SAMN02252740,3992258436,INDIANA UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4386603,Illumina Genome Analyzer II,PA-32,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,HUGHES-2,SRP153227,,,HUGHES-2,2005,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,asexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212286,SRR7516572,WGS,199,6822906399,SAMN02252741,3989408424,INDIANA UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4386612,Illumina Genome Analyzer II,EB-1,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,PA-32,SRP153230,,,PA-32,2003,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212288,SRR7516561,WGS,199,6853461463,SAMN02252742,4107167618,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4386601,Illumina Genome Analyzer II,BW-101,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,EB-1,SRP153223,,,EB-1,2003,USA,North America,USA: Minnesota,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212290,SRR7516566,WGS,199,6944727409,SAMN02252743,4167640946,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4386606,Illumina Genome Analyzer II,KSP-10,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,OP-11,SRP153226,,,OP-11,2004,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212291,SRR7516825,WGS,199,6955922127,SAMN02252744,4143213173,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4386831,Illumina Genome Analyzer II,POVI-4,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,BW-101,SRP153243,,,BW-101,2004,USA,North America,USA: Illinois,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212292,SRR7516562,WGS,199,6955459902,SAMN02252745,4017027893,INDIANA UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4386602,Illumina Genome Analyzer II,TEX-9,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,KSP-10,SRP153224,,,KSP-10,2004,USA,North America,USA: Illinois,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212293,SRR7516565,WGS,199,6872595719,SAMN02252746,4021106407,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4386605,Illumina Genome Analyzer II,LPB8-6,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,POVI-1,SRP153229,,,POVI-1,2004,USA,North America,USA: Michigan,temporary pond,,,,,,,,sexual,,,,,,,,,,,,,,,,,,character0,,,NA,NA,1
PRJNA212294,SRR7516523,WGS,199,6923828339,SAMN02252747,4092927628,INDIANA UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4386563,Illumina Genome Analyzer II,NFL-3,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-12T00:00:00Z,TEX-9,SRP153216,,,TEX-9,2003,USA,North America,USA: Michigan,temporary pond,,,,,,,,sexual,,,,,,,,Michigan,,,,,,,,,,character0,,,NA,NA,1
PRJNA212295,SRR7516536,WGS,150,4517495550,SAMN02252748,2117591777,INDIANA UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4386576,Illumina Genome Analyzer II,LPB8-5,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,,,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212295,SRR7519701,WGS,44,2805381568,SAMN02252748,1184791012,INDIANA UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4386576,Illumina Genome Analyzer II,LPB8-5,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,,,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212295,SRR7519702,WGS,44,1654467760,SAMN02252748,1087784547,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4386576,Illumina Genome Analyzer II,LPB8-5,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,,,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212295,SRR7519703,WGS,75,3129510300,SAMN02252748,2149556674,INDIANA UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4386576,Illumina Genome Analyzer II,LPB8-5,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-6,SRP153218,,,LP8B-6,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212296,SRR7516534,WGS,75,4639347750,SAMN02252749,2281501938,INDIANA UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4386574,Illumina Genome Analyzer II,TEX-21,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,NFL-3,SRP153217,,,NFL-3,2004,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,Indiana,,,,,,,,,,character0,,,NA,NA,3
PRJNA212296,SRR7519631,WGS,44,2174149912,SAMN02252749,892497175,INDIANA UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4386574,Illumina Genome Analyzer II,TEX-21,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,NFL-3,SRP153217,,,NFL-3,2004,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,Indiana,,,,,,,,,,character0,,,NA,NA,3
PRJNA212296,SRR7519632,WGS,150,4223139750,SAMN02252749,1968799442,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4386574,Illumina Genome Analyzer II,TEX-21,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,NFL-3,SRP153217,,,NFL-3,2004,USA,North America,USA: Indiana,temporary pond,,,,,,,,sexual,,,,,,,,Indiana,,,,,,,,,,character0,,,NA,NA,3
PRJNA212297,SRR7516524,WGS,118,2006672954,SAMN02252750,1399468776,INDIANA UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4386564,Illumina Genome Analyzer II,SW-4,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-5,SRP153225,,,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212297,SRR7519638,WGS,122,2583420760,SAMN02252750,2658296058,INDIANA UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4386564,Illumina Genome Analyzer II,SW-4,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-21T00:00:00Z,LP8B-5,SRP153225,,,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212297,SRR7519639,WGS,122,2394895990,SAMN02252750,2431536932,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4386564,Illumina Genome Analyzer II,SW-4,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-21T00:00:00Z,LP8B-5,SRP153225,,,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA212297,SRR7519640,WGS,118,2022501474,SAMN02252750,1412681682,INDIANA UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4386564,Illumina Genome Analyzer II,SW-4,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2018-07-13T00:00:00Z,LP8B-5,SRP153225,,,LPB8-5,2003,Canada,North America,Canada: Ontario,temporary pond,,,,,,,,sexual,,,,,,,,Ontario,,,,,,,,,,character0,,,NA,NA,4
PRJNA247438,SRR1369718,WGS,296,2090996984,SAMN02839616,1381355239,ERDC-USACE,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX584620,Illumina MiSeq,Run20120706_A28,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_28_EL787,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20120706_A28,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369719,WGS,302,1419026728,SAMN02839615,864173966,ERDC-USACE,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX584621,Illumina MiSeq,Run20120716_A13,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ABS_13_EL790,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Aquatic Biosystems\, Inc.\, Fort Collins\, CO",ABS,parthenogenetic female,Run20120716_A13,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369720,WGS,302,1410910478,SAMN02839621,887274333,ERDC-USACE,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX584622,Illumina MiSeq,Run20120719_E12,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_12_EL786,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20120719_E12,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369721,WGS,302,1429651692,SAMN02839618,887168642,ERDC-USACE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX584623,Illumina MiSeq,Run20120723_B16,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_16_EL788,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20120723_B16,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369722,WGS,302,1527618378,SAMN02839617,1034652225,ERDC-USACE,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX584624,Illumina MiSeq,Run20120805_B2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,BEL_2_EL791,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"EPBI\, Belgium",BEL,parthenogenetic female,Run20120805_B2,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369723,WGS,302,2287898244,SAMN02839619,1605960861,ERDC-USACE,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX584625,Illumina MiSeq,Run20120824_E7,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_7_EL789,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20120824_E7,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369724,WGS,302,2133338570,SAMN02839620,1464310084,ERDC-USACE,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX584626,Illumina MiSeq,Run20130206_E7_rerun,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,ECT_7_EL789_rerun,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Mr. Steve Poirier\, Environmental Consulting & Testing\, Inc.\, Superior\, WI",ECT,parthenogenetic female,Run20130206_E7_rerun,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369725,WGS,302,42458482,SAMN02839664,27842766,ERDC-USACE,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX584627,Illumina MiSeq,Run20130521_G3-LF-r1_EL2104_S1,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_1_EL2104,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2104_S1;Run20130528_G3-LF-r2_EL2104_S1;Run20130530_G3-LF-r3_EL2104_S1;Run20130617_G3-LF-r4_EL2104_S1;Run20130730_G3-6LF-r1_EL2104_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369726,WGS,302,83371328,SAMN02839666,54916461,ERDC-USACE,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX584628,Illumina MiSeq,Run20130521_G3-LF-r1_EL2105_S2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_2_EL2105,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2105_S2;Run20130528_G3-LF-r2_EL2105_S2;Run20130530_G3-LF-r3_EL2105_S2;Run20130617_G3-LF-r4_EL2105_S2;Run20130806_G3-6LF-r2_EL2105_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
PRJNA247438,SRR1369727,WGS,302,51277486,SAMN02839668,34065193,ERDC-USACE,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX584629,Illumina MiSeq,Run20130521_G3-LF-r1_EL2106_S3,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2015-06-17T00:00:00Z,STL_3_EL2106,SRP041981,Model organism or animal,whole animal,,,,,,,female,adult,"Dr. Howard Webb\, Saint Louis\, MO",STL,parthenogenetic female,Run20130521_G3-LF-r1_EL2106_S3;Run20130528_G3-LF-r2_EL2106_S3;Run20130530_G3-LF-r3_EL2106_S3;Run20130617_G3-LF-r4_EL2106_S3;Run20130808_G3-6LF-r3_EL2106_S1,,,,,,,,,,,,,,,,,,,,character0,,,NA,NA,367
